weight_contact,ewma_alpha,corrected_rmse,imputed_rmse,n_test_points,n_imputed,n_corrected,improvement_pct
0.5,0.0,0.9724449343313908,0.723725779828139,89,76,76,-34.36649093283845
0.5,0.1,0.8068453014528887,0.717900517815969,89,76,76,-12.389569505745971
0.5,0.2,0.7364543932421419,0.7123781881161193,89,76,76,-3.379694315135056
0.5,0.30000000000000004,0.7010848956941634,0.7072175934638405,89,76,76,0.8671585416363974
0.5,0.4,0.6805995259441217,0.7023581613691344,89,76,76,3.0979401424762845
0.5,0.5,0.6673547923817471,0.6976496316023741,89,76,76,4.3424145657534865
0.5,0.6000000000000001,0.6584399013634445,0.6930963834893573,89,76,76,5.00023993076353
0.5,0.7000000000000001,0.6524257672628967,0.6894529002428562,89,76,76,5.370509423764394
0.5,0.8,0.6479995220940209,0.6887156972865458,89,76,76,5.911898821667863
0.5,0.9,0.6450879891291743,0.6939666721578026,89,76,76,7.043376143215371
0.5,1.0,0.6587672259852392,0.9357382967747673,89,76,76,29.59920222824814
0.6000000000000001,0.0,0.975102141665035,0.7267670349545184,89,76,76,-34.169836380382534
0.6000000000000001,0.1,0.7795482049129552,0.7198170790518956,89,76,76,-8.298097891721905
0.6000000000000001,0.2,0.7166054880817152,0.7131041682378885,89,76,76,-0.49099696787338204
0.6000000000000001,0.30000000000000004,0.6890372302828396,0.7067281829360329,89,76,76,2.5032187876954315
0.6000000000000001,0.4,0.6739385498833422,0.7006421940342207,89,76,76,3.811309735304664
0.6000000000000001,0.5,0.664209822561936,0.6946996328398723,89,76,76,4.388919877976138
0.6000000000000001,0.6000000000000001,0.6573604056330243,0.688969582444283,89,76,76,4.587891485588897
0.6000000000000001,0.7000000000000001,0.6521882963619459,0.6844573500515129,89,76,76,4.71454557207084
0.6000000000000001,0.8,0.6477024405872487,0.6835390286458686,89,76,76,5.242800565406528
0.6000000000000001,0.9,0.6443022458557304,0.689460724420815,89,76,76,6.54982611272313
0.6000000000000001,1.0,0.6591496806617503,1.0490420355328296,89,76,76,37.166513987501475
0.7000000000000001,0.0,0.9777230783751426,0.7318856435059051,89,76,76,-33.589596551124856
0.7000000000000001,0.1,0.7504302815786374,0.7236252741632885,89,76,76,-3.7042663340280635
0.7000000000000001,0.2,0.7001659217688702,0.7155215703711217,89,76,76,2.146077663918227
0.7000000000000001,0.30000000000000004,0.680714101482237,0.7077206879076174,89,76,76,3.8159950509890654
0.7000000000000001,0.4,0.6701415196749712,0.7001974651364513,89,76,76,4.29249561130916
0.7000000000000001,0.5,0.6629654754857675,0.6928242195983335,89,76,76,4.309714249001968
0.7000000000000001,0.6000000000000001,0.6574113088777027,0.6857652907291156,89,76,76,4.134648141970928
